64;Ramones;1976;	 
63;Dolly Parton;1974;	 
62;U2;1992;	 
61;Led Zeppelin;1971;	 
60;Kate Bush;1985;	 
59;Grandmaster Flash and the Furious Five;1982;	 
58;The Band;1968;	 
57;Sly and the Family Stone;1971;	 
56;Missy Elliott;2000;	 
55;Madonna;1989;	 
54;Smokey Robinson and the Miracles;1965;	 
53;The Beach Boys;1966;	 
52;Donna Summer;1977;	 
51;Dionne Warwick;1964;	 
50;Daddy Yankee;2010;	 
49;Lauryn Hill;1998;	 
48;Radiohead;2000;	 
47;Elton John;1972;	 
46;M.I.A;2008;	 
45;Kendrick Lamar;2015;	 
44;Michael Jackson;1982;	 
43;The Temptations;1965;	 
42;Bob Marley and the Wailers;1980;	 
41;Joy Dvision;1980;	 
40;The Jimi Hendrix Experience;1968;	 
39;Outkast;2000;	 
38;Otis Redding;1967;	 
37;Prince and the Revolution;1984;	 
36;The White Stripes;2003;	 
35;Little Richard;1955;	 
34;James Brown;1966;	 
33;Chuck Berry;1958;	 
32;Notorious B.I.G;1994;	 
31;The Rolling Stones;1965;	 
30;Lorde;2011;	 
29;Dr.Dre ft.Snoop Doggy Dogg;1992;	 
28;Talking Heads;1980;	 
27;Bruce Springsteen;1975;	 
26;Joni Mitchell;1971;	 
25;Kanye West ft.Pusha T;2010;	 
24;The Beatles;1967;	 
23;David Bowie;1977;	 
22;The Ronettes;1963;	 
21;Billie Holiday;1939;	 
20;Robyn;2010;	 
19;John Lennon;1971;	 
18;Prince and the Revolution;1984;	 
17;Queen;1975;	 
16;Beyoncé ft.Jay-Z;2003;	 
15;The Beatles;1963;	 
14;The Kinks;1967;	 
13;The Rolling Stones;1969;	 
12;Stevie Wonder;1972;	 
11;The Beach Boys;1966;	 
10;Outkast;2003;	 
9;Fleetwood Mac;1977;	 
8;Missy Elliott;2001;	 
7;The Beatles;1967;	 
6;Marvin Gaye;1971;	 
5;Nirvana;1991;	 
4;Bob Dylan;1965;	 
3;Sam Cooke;1964;	 
2;Public Enemy;1989;	 
1;Aretha Franklin;1967;	
